Time,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed
87648119,0,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87659254,0.01,-0.02,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
87670467,0.01,-0.02,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
87687770,0.02,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
87701752,0.02,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87713945,0.02,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87724896,-0.01,-0.02,-0.17,4713.44,849.06,0.51,-10000,-10000,-14.5
87735647,0,0.01,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
87746481,0.01,0,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
87756484,0.01,0,-0.22,4713.44,849.06,0.5,-10000,-10000,-14.5
87766487,0.01,0,-0.21,4713.44,849.06,0.5,-10000,-10000,-14.5
87776495,0.02,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87786502,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87796506,0.01,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
87806509,0.02,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
87818272,0.01,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87828276,0,-0.02,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
87839566,0.01,0,-0.17,4713.44,849.06,0.49,-10000,-10000,-14.5
87850639,0,0,-0.2,4713.44,849.06,0.52,-10000,-10000,-14.5
87864275,0,0,-0.22,4713.44,849.06,0.5,-10000,-10000,-14.5
87875528,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87886630,0,0,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
87896632,0.02,0.01,-0.17,4713.44,849.06,0.49,-10000,-10000,-14.5
87906634,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
87919129,0,-0.02,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
87929231,0,-0.01,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
87941257,0,0,-0.17,4713.44,849.06,0.5,-10000,-10000,-14.5
87953794,0.01,-0.02,-0.19,4713.44,849.06,0.51,-10000,-10000,-14.5
87968279,0.01,0,-0.16,4713.44,849.06,0.53,-10000,-10000,-14.5
87978283,0.01,-0.01,-0.15,4713.44,849.06,0.5,-10000,-10000,-14.5
87990729,0.01,-0.02,-0.17,4713.44,849.06,0.49,-10000,-10000,-14.5
88002668,0.01,-0.01,-0.2,4713.44,849.06,0.51,-10000,-10000,-14.5
88019318,0.01,0,-0.18,4713.44,849.06,0.49,-10000,-10000,-14.5
88033479,0,-0.02,-0.21,4713.44,849.06,0.49,-10000,-10000,-14.5
88049106,0.01,0,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
88059110,0.01,0.01,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
88071060,0,-0.03,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
88083256,0,0,-0.18,4713.44,849.06,0.5,-10000,-10000,-14.5
88094357,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
88105842,0.01,-0.01,-0.19,4713.44,849.06,0.49,-10000,-10000,-14.5
88116535,0,0,-0.18,4713.44,849.06,0.51,-10000,-10000,-14.5
88126731,0.01,0,-0.17,4713.44,849.06,0.49,-10000,-10000,-14.5
88141420,0,-0.01,-0.19,4713.44,849.06,0.5,-10000,-10000,-14.5
88153980,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
88170145,0,0,-0.22,4713.44,849.06,0.51,-10000,-10000,-14.5
88182711,0.01,0,-0.16,4713.44,849.06,0.52,-10000,-10000,-14.5
88192715,0,0,-0.21,4713.44,849.06,0.51,-10000,-10000,-14.5
88205885,0,0,-0.2,4713.44,849.06,0.49,-10000,-10000,-14.5
88216383,0,0,-0.2,4713.44,849.06,0.5,-10000,-10000,-14.5
